recipe,user,rating,comment
Canh Bầu Mồng Tơi,"{'username': 'jia_smiles', 'email': 'jia_smiles@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Món ăn rất dễ nấu, hợp khẩu vị người việt"
Bánh Áp Chảo Mì Gói Và Bắp,"{'username': 'pomersum', 'email': 'pomersum@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Món ngon khỏi phải bàn
Vịt Kho Riềng Ớt Khô,"{'username': 'thao_pg21', 'email': 'thao_pg21@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Cả nhà mình thích ăn vịt lắm, có đĩa vịt kho này chắc là hết nguyên nồi cơm luôn quá."
Vịt Kho Riềng Ớt Khô,"{'username': 'trangchip19', 'email': 'trangchip19@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Cách mách nhỏ tạo món ăn thêm hấp dẫn.
Panna Cotta Kem Muối,"{'username': 'vutran1087', 'email': 'vutran1087@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Cảm ơn đã chia sẻ công thức.
Tôm Sú Kho Lá Quế,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Món này thơm lá quế, lạ lạ"
Tôm Sú Kho Lá Quế,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Lá quế có phải là rau húng (1 loại rau thơm) không ạ?
Tôm Sú Kho Lá Quế,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,clip nay cung chang xem dc zay ad
Canh Tôm Bồ Ngót,"{'username': 'uyntr_', 'email': 'uyntr_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Canh rau ngót phải ăn vã lúc còn nóng thiệt nóng mới ngon.
Tim Heo Nướng Ngũ Vị,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"dễ làm và ngon, quan trọng món ăn đc chế biến tốt cho sức khỏe, . cám on món an ngon moi ngay. <3. tù bay giờ tui không càn phải lôi cân ra đo đong đếm tính calo vì món an ngon đã tính giúp tôi"
Cháo Cá Nấu Bắp Nếp,"{'username': 'haffxuf', 'email': 'haffxuf@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Nhà mình hay nấu cháo cá lóc nhưng chưa từng thử nấu như này bao giờ, trông khá hấp dẫn đó."
Cháo Cá Nấu Bắp Nếp,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Đọc phần mô tả thôi là thấy mê rồi đó.
Cá Nục Kho Mía,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Dễ hiểu
Phở Tái Lăn,"{'username': 'tiao__vie', 'email': 'tiao__vie@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Ngon ngon
Bánh Rán Burger Bò,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Ngon vậy ai chê đc
Bánh Rán Burger Bò,"{'username': 'haffxuf', 'email': 'haffxuf@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Rất tuyệt khi nấu món ăn mình thích
Cá Bống Trứng Kho Tiêu,"{'username': 'phaminhu', 'email': 'phaminhu@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Nhìn nồi cá kho mà nước miếng mình chảy ròng ròng rồi nè.
